date,weekly_rev,price
07-Sep-23,19727.05,22.28
06-Sep-23,19611.05,22.37
05-Sep-23,19574.9,22.33
04-Sep-23,19528.8,22.28
01-Sep-23,19435.3,22.17
31-Aug-23,19253.8,21.97
30-Aug-23,19347.45,22.07
29-Aug-23,19342.65,22.07
28-Aug-23,19306.05,22.03
25-Aug-23,19265.8,21.98
24-Aug-23,19386.7,22.12
23-Aug-23,19444,22.19
22-Aug-23,19396.45,22.13
21-Aug-23,19393.6,22.42
18-Aug-23,19310.15,22.32
17-Aug-23,19365.25,22.39
16-Aug-23,19465,22.52
14-Aug-23,19434.55,22.64
11-Aug-23,19428.3,22.63
10-Aug-23,19543.1,22.77
09-Aug-23,19632.55,22.81
08-Aug-23,19570.85,22.73
07-Aug-23,19597.3,22.83
04-Aug-23,19517,22.71
03-Aug-23,19381.65,22.55
02-Aug-23,19526.55,22.72
01-Aug-23,19733.55,22.96
31-Jul-23,19753.8,23.01
28-Jul-23,19646.05,22.91
27-Jul-23,19659.9,23.83
26-Jul-23,19778.3,23.97
25-Jul-23,19680.6,23.55
24-Jul-23,19672.35,23.83
21-Jul-23,19745,23.95
20-Jul-23,19979.15,24.24
19-Jul-23,19833.15,24.09
18-Jul-23,19749.25,24.18
17-Jul-23,19711.45,24.14
14-Jul-23,19564.5,23.96
13-Jul-23,19413.75,23.81
12-Jul-23,19384.3,22.58
11-Jul-23,19439.4,22.65
10-Jul-23,19355.9,22.55
07-Jul-23,19331.8,22.52
06-Jul-23,19497.3,22.72
05-Jul-23,19398.5,22.6
04-Jul-23,19389,22.59
03-Jul-23,19322.55,22.51
30-Jun-23,19189.05,22.36
28-Jun-23,18972.1,22.08
27-Jun-23,18817.4,21.9
26-Jun-23,18691.2,21.76
23-Jun-23,18665.5,21.73
22-Jun-23,18771.25,21.85
21-Jun-23,18856.85,21.96
20-Jun-23,18816.7,21.91
19-Jun-23,18755.45,21.84
16-Jun-23,18826,21.92
15-Jun-23,18688.1,21.76
14-Jun-23,18755.9,21.84
13-Jun-23,18716.15,21.79
12-Jun-23,18601.5,21.66
09-Jun-23,18563.4,21.62
08-Jun-23,18634.55,21.7
07-Jun-23,18726.4,21.81
06-Jun-23,18599,21.66
05-Jun-23,18593.85,21.65
02-Jun-23,18534.1,21.58
01-Jun-23,18487.75,21.53
31-May-23,18534.4,21.59
30-May-23,18633.85,21.7
29-May-23,18598.65,21.65
26-May-23,18499.35,21.54
25-May-23,18321.15,21.28
24-May-23,18285.4,21.24
23-May-23,18348,21.41
22-May-23,18314.4,21.36
19-May-23,18203.4,21.48
18-May-23,18129.95,21.39
17-May-23,18181.75,21.47
16-May-23,18286.5,21.59
15-May-23,18398.85,21.92
12-May-23,18314.8,21.82
11-May-23,18297,21.86
10-May-23,18315.1,21.88
09-May-23,18265.95,21.77
08-May-23,18264.4,21.77
05-May-23,18069,21.62
04-May-23,18255.8,21.85
03-May-23,18089.85,21.33
02-May-23,18147.65,20.92
28-Apr-23,18065,20.87
27-Apr-23,17915.05,20.7
26-Apr-23,17813.6,20.59
25-Apr-23,17769.25,20.56
24-Apr-23,17743.4,20.74
21-Apr-23,17624.05,20.61
20-Apr-23,17624.45,20.61
19-Apr-23,17618.75,20.6
18-Apr-23,17660.15,20.65
17-Apr-23,17706.85,20.82
13-Apr-23,17828,20.99
12-Apr-23,17812.4,20.97
11-Apr-23,17722.3,20.86
10-Apr-23,17624.05,20.75
06-Apr-23,17599.15,20.72
05-Apr-23,17557.05,20.67
03-Apr-23,17398.05,20.48
31-Mar-23,17359.75,20.44
29-Mar-23,17080.7,20.13
28-Mar-23,16951.7,19.97
27-Mar-23,16985.7,20.01
24-Mar-23,16945.05,19.97
23-Mar-23,17076.9,20.12
22-Mar-23,17151.9,20.21
21-Mar-23,17107.5,20.16
20-Mar-23,16988.4,20.02
17-Mar-23,17100.05,20.15
16-Mar-23,16985.6,20.01
15-Mar-23,16972.15,20
14-Mar-23,17043.3,20.08
13-Mar-23,17154.3,20.21
10-Mar-23,17412.9,20.52
09-Mar-23,17589.6,20.73
08-Mar-23,17754.4,20.92
06-Mar-23,17711.45,20.87
03-Mar-23,17594.35,20.73
02-Mar-23,17321.9,20.41
01-Mar-23,17450.9,20.56
28-Feb-23,17303.95,20.39
27-Feb-23,17392.7,20.49
24-Feb-23,17465.8,20.58
23-Feb-23,17511.25,20.64
22-Feb-23,17554.3,20.69
21-Feb-23,17826.7,21.01
20-Feb-23,17844.6,21.04
17-Feb-23,17944.2,21.15
16-Feb-23,18035.85,21.26
15-Feb-23,18015.85,21.31
14-Feb-23,17929.85,21.21
13-Feb-23,17770.9,21.05
10-Feb-23,17856.5,21.06
09-Feb-23,17893.45,21.11
08-Feb-23,17871.7,21.1
07-Feb-23,17721.5,20.5
06-Feb-23,17764.6,20.71
03-Feb-23,17854.05,20.86
02-Feb-23,17610.4,20.59
01-Feb-23,17616.3,20.68
31-Jan-23,17662.15,20.73
30-Jan-23,17648.95,20.73
27-Jan-23,17604.35,20.7
25-Jan-23,17891.95,21.19
24-Jan-23,18118.3,21.49
23-Jan-23,18118.55,21.6
20-Jan-23,18027.65,21.46
19-Jan-23,18107.85,21.56
18-Jan-23,18165.35,21.67
17-Jan-23,18053.3,21.53
16-Jan-23,17894.85,21.34
13-Jan-23,17956.6,21.54
12-Jan-23,17858.2,21.47
11-Jan-23,17895.7,21.52
10-Jan-23,17914.15,21.56
09-Jan-23,18101.2,21.78
06-Jan-23,17859.45,21.49
05-Jan-23,17992.15,21.65
04-Jan-23,18042.95,21.71
03-Jan-23,18232.55,21.94
02-Jan-23,18197.45,21.9
30-Dec-22,18105.3,21.79
29-Dec-22,18191,21.86
28-Dec-22,18122.5,21.78
27-Dec-22,18132.3,21.79
26-Dec-22,18014.6,21.65
23-Dec-22,17806.8,21.4
22-Dec-22,18127.35,21.79
21-Dec-22,18199.1,21.87
20-Dec-22,18385.3,22.1
19-Dec-22,18420.45,22.14
16-Dec-22,18269,21.96
15-Dec-22,18414.9,22.13
14-Dec-22,18660.3,22.43
13-Dec-22,18608,22.36
12-Dec-22,18497.15,22.23
09-Dec-22,18496.6,22.23
08-Dec-22,18609.35,22.36
07-Dec-22,18560.5,22.31
06-Dec-22,18642.75,22.4
05-Dec-22,18701.05,22.47
02-Dec-22,18696.1,22.47
01-Dec-22,18812.5,22.61
30-Nov-22,18758.35,22.54
29-Nov-22,18618.05,22.37
28-Nov-22,18562.75,22.31
25-Nov-22,18512.75,22.25
24-Nov-22,18484.1,22.21
23-Nov-22,18267.25,21.95
22-Nov-22,18244.2,21.93
21-Nov-22,18159.95,21.82
18-Nov-22,18307.65,21.79
17-Nov-22,18343.9,21.83
16-Nov-22,18409.65,21.91
15-Nov-22,18403.4,21.89
14-Nov-22,18329.15,21.79
11-Nov-22,18349.7,21.92
10-Nov-22,18028.2,21.53
09-Nov-22,18157,21.66
07-Nov-22,18202.8,21.71
04-Nov-22,18117.15,21.77
03-Nov-22,18052.7,21.79
02-Nov-22,18082.85,21.82
01-Nov-22,18145.4,21.98
31-Oct-22,18012.2,21.42
28-Oct-22,17786.8,21.15
27-Oct-22,17736.95,21.1
25-Oct-22,17656.35,21
24-Oct-22,17730.75,21.26
21-Oct-22,17576.3,21.07
20-Oct-22,17563.95,21.06
19-Oct-22,17512.25,21.02
18-Oct-22,17486.95,20.99
17-Oct-22,17311.8,20.86
14-Oct-22,17185.7,20.74
13-Oct-22,17014.35,20.53
12-Oct-22,17123.6,20.67
11-Oct-22,16983.55,20.51
10-Oct-22,17241,20.82
07-Oct-22,17314.65,20.9
06-Oct-22,17331.8,20.93
04-Oct-22,17274.3,20.86
03-Oct-22,16887.35,20.39
30-Sep-22,17094.35,20.64
29-Sep-22,16818.1,20.08
28-Sep-22,16858.6,20.13
27-Sep-22,17007.4,20.3
26-Sep-22,17016.3,20.31
23-Sep-22,17327.35,20.69
22-Sep-22,17629.8,21.05
21-Sep-22,17718.35,21.15
20-Sep-22,17816.25,21.27
19-Sep-22,17622.25,21.04
16-Sep-22,17530.85,20.93
15-Sep-22,17877.4,21.34
14-Sep-22,18003.75,21.49
13-Sep-22,18070.05,21.57
12-Sep-22,17936.35,21.41
09-Sep-22,17833.35,21.29
08-Sep-22,17798.75,21.25
07-Sep-22,17624.4,21.04
06-Sep-22,17655.6,21.08
05-Sep-22,17665.8,21.09
02-Sep-22,17539.45,20.94
01-Sep-22,17542.8,20.94
30-Aug-22,17759.3,21.2
29-Aug-22,17312.9,20.67
26-Aug-22,17558.9,20.96
25-Aug-22,17522.45,20.92
24-Aug-22,17604.95,21.02
23-Aug-22,17577.5,20.98
22-Aug-22,17490.7,20.88
19-Aug-22,17758.45,21.2
18-Aug-22,17956.5,21.44
17-Aug-22,17944.25,21.42
16-Aug-22,17825.25,21.34
12-Aug-22,17698.15,21.18
11-Aug-22,17659,21.29
10-Aug-22,17534.75,21.11
08-Aug-22,17525.1,21.02
05-Aug-22,17397.5,20.86
04-Aug-22,17382,20.85
03-Aug-22,17388.15,20.85
02-Aug-22,17345.45,20.86
01-Aug-22,17340.05,20.9
29-Jul-22,17158.25,20.73
28-Jul-22,16929.6,20.49
27-Jul-22,16641.8,20.19
26-Jul-22,16483.85,20.17
25-Jul-22,16631,20.44
22-Jul-22,16719.45,20.55
21-Jul-22,16605.25,20.43
20-Jul-22,16520.85,20.33
19-Jul-22,16340.55,20.18
18-Jul-22,16278.5,20.11
15-Jul-22,16049.2,19.82
14-Jul-22,15938.65,19.69
13-Jul-22,15966.65,19.72
12-Jul-22,16058.3,19.83
11-Jul-22,16216,20.03
08-Jul-22,16220.6,20.04
07-Jul-22,16132.9,19.93
06-Jul-22,15989.8,19.76
05-Jul-22,15810.85,19.54
04-Jul-22,15835.35,19.57
01-Jul-22,15752.05,19.46
30-Jun-22,15780.25,19.5
29-Jun-22,15799.1,19.55
28-Jun-22,15850.2,19.61
27-Jun-22,15832.05,19.59
24-Jun-22,15699.25,19.43
23-Jun-22,15556.65,19.25
22-Jun-22,15413.3,19.07
21-Jun-22,15638.8,19.35
20-Jun-22,15350.15,18.99
17-Jun-22,15293.5,18.92
16-Jun-22,15360.6,19.01
15-Jun-22,15692.15,19.42
14-Jun-22,15732.1,19.47
13-Jun-22,15774.4,19.52
10-Jun-22,16201.8,20.05
09-Jun-22,16478.1,20.39
08-Jun-22,16356.25,20.24
07-Jun-22,16416.35,20.31
06-Jun-22,16569.55,20.5
03-Jun-22,16584.3,20.52
02-Jun-22,16628,20.58
01-Jun-22,16522.75,20.45
31-May-22,16584.55,20.44
30-May-22,16661.4,20.65
27-May-22,16352.45,20.27
26-May-22,16170.15,19.88
25-May-22,16025.8,19.74
24-May-22,16125.15,19.87
23-May-22,16214.7,20.01
20-May-22,16266.15,20.05
19-May-22,15809.4,19.51
18-May-22,16240.3,20.09
17-May-22,16259.3,20.12
16-May-22,15842.3,19.72
13-May-22,15782.15,19.83
12-May-22,15808,19.87
11-May-22,16167.1,20.32
10-May-22,16240.05,20.42
09-May-22,16301.85,20.75
06-May-22,16411.25,20.89
05-May-22,16682.65,21.24
04-May-22,16677.6,21.31
02-May-22,17069.1,21.87
29-Apr-22,17102.55,22.01
28-Apr-22,17245.05,22.2
27-Apr-22,17038.4,21.96
26-Apr-22,17200.8,22.17
25-Apr-22,16953.95,22.03
22-Apr-22,17171.95,22.38
21-Apr-22,17392.6,22.67
20-Apr-22,17136.55,22.33
19-Apr-22,16958.65,22.1
18-Apr-22,17173.65,22.53
13-Apr-22,17475.65,22.92
12-Apr-22,17530.3,23.01
11-Apr-22,17674.95,23.2
08-Apr-22,17784.35,23.34
07-Apr-22,17639.55,23.15
06-Apr-22,17807.65,23.37
05-Apr-22,17957.4,23.57
04-Apr-22,18053.4,23.69
01-Apr-22,17670.45,23.19
31-Mar-22,17464.75,22.92
30-Mar-22,17498.25,22.5
29-Mar-22,17325.3,22.27
28-Mar-22,17222,22.14
25-Mar-22,17153,22.05
24-Mar-22,17222.75,22.14
23-Mar-22,17245.65,22.17
22-Mar-22,17315.5,22.26
21-Mar-22,17117.6,22.01
17-Mar-22,17287.05,22.23
16-Mar-22,16975.35,21.82
15-Mar-22,16663,21.42
14-Mar-22,16871.3,21.69
11-Mar-22,16630.45,21.38
10-Mar-22,16594.9,21.34
09-Mar-22,16345.35,21.01
08-Mar-22,16013.45,20.59
07-Mar-22,15863.15,20.39
04-Mar-22,16245.35,20.89
03-Mar-22,16498.05,21.21
02-Mar-22,16605.95,21.35
28-Feb-22,16793.9,21.59
25-Feb-22,16658.4,21.42
24-Feb-22,16247.95,20.89
23-Feb-22,17063.25,21.94
22-Feb-22,17092.2,21.97
21-Feb-22,17206.65,22.12
18-Feb-22,17276.3,22.21
17-Feb-22,17304.6,22.25
16-Feb-22,17322.2,22.27
15-Feb-22,17352.45,22.36
14-Feb-22,16842.8,21.85
11-Feb-22,17374.75,22.68
10-Feb-22,17605.85,22.98
09-Feb-22,17463.8,23.09
08-Feb-22,17266.75,22.83
07-Feb-22,17213.6,23.11
04-Feb-22,17516.3,23.56
03-Feb-22,17560.2,23.65
02-Feb-22,17780,23.95
01-Feb-22,17576.85,23.62
31-Jan-22,17339.85,23.42
28-Jan-22,17101.95,23.1
27-Jan-22,17110.15,23.09
25-Jan-22,17277.95,23.47
24-Jan-22,17149.1,23.63
21-Jan-22,17617.15,24.29
20-Jan-22,17757,24.47
19-Jan-22,17938.4,24.76
18-Jan-22,18113.05,25
17-Jan-22,18308.1,25.37
14-Jan-22,18255.75,25.3
13-Jan-22,18257.8,25.37
12-Jan-22,18212.35,25.3
11-Jan-22,18055.75,25.09
10-Jan-22,18003.3,25.01
07-Jan-22,17812.7,24.75
06-Jan-22,17745.9,24.66
05-Jan-22,17925.25,24.91
04-Jan-22,17805.25,24.74
03-Jan-22,17625.7,24.49
31-Dec-21,17354.05,24.11
30-Dec-21,17203.95,23.73
29-Dec-21,17213.6,23.74
28-Dec-21,17233.25,23.77
27-Dec-21,17086.25,23.57
24-Dec-21,17003.75,23.45
23-Dec-21,17072.6,23.55
22-Dec-21,16955.45,23.39
21-Dec-21,16770.85,23.13
20-Dec-21,16614.2,22.92
17-Dec-21,16985.2,23.43
16-Dec-21,17248.4,23.79
15-Dec-21,17221.4,23.75
14-Dec-21,17324.9,23.9
13-Dec-21,17368.25,23.96
10-Dec-21,17511.3,24.15
09-Dec-21,17516.85,24.16
08-Dec-21,17469.75,24.1
07-Dec-21,17176.7,23.69
06-Dec-21,16912.25,23.33
03-Dec-21,17196.7,23.73
02-Dec-21,17401.65,24.01
01-Dec-21,17166.9,23.68
30-Nov-21,16983.2,23.43
29-Nov-21,17053.95,23.53
26-Nov-21,17026.45,23.49
25-Nov-21,17536.25,24.19
24-Nov-21,17415.05,24.03
23-Nov-21,17503.35,24.15
22-Nov-21,17416.55,24.03
18-Nov-21,17764.8,24.51
17-Nov-21,17898.65,24.69
16-Nov-21,17999.2,24.83
15-Nov-21,18109.45,26
12-Nov-21,18102.75,25.98
11-Nov-21,17873.6,25.65
10-Nov-21,18017.2,26.03
09-Nov-21,18044.25,26.06
08-Nov-21,18068.55,26.25
04-Nov-21,17916.8,26.11
03-Nov-21,17829.2,25.98
02-Nov-21,17888.95,25.95
01-Nov-21,17929.65,26.07
29-Oct-21,17671.65,25.71
28-Oct-21,17857.25,26.39
27-Oct-21,18210.95,27.06
26-Oct-21,18268.4,27.16
25-Oct-21,18125.4,27.29
22-Oct-21,18114.9,27.48
21-Oct-21,18178.1,27.58
20-Oct-21,18266.6,27.72
19-Oct-21,18418.75,27.97
18-Oct-21,18477.05,28.17
14-Oct-21,18338.55,28.02
13-Oct-21,18161.75,27.75
12-Oct-21,17991.95,27.49
11-Oct-21,17945.95,27.48
08-Oct-21,17895.2,27.4
07-Oct-21,17790.35,27.24
06-Oct-21,17646,27.02
05-Oct-21,17822.3,27.29
04-Oct-21,17691.25,27.09
01-Oct-21,17532.05,26.84
30-Sep-21,17618.15,26.98
29-Sep-21,17711.3,27.11
28-Sep-21,17748.6,27.16
27-Sep-21,17855.1,27.33
24-Sep-21,17853.2,27.34
23-Sep-21,17822.95,27.29
22-Sep-21,17546.65,26.87
21-Sep-21,17562,26.89
20-Sep-21,17396.9,26.64
17-Sep-21,17585.15,26.93
16-Sep-21,17629.5,26.99
15-Sep-21,17519.45,26.84
14-Sep-21,17380,26.63
13-Sep-21,17355.3,26.59
09-Sep-21,17369.25,26.61
08-Sep-21,17353.5,26.59
07-Sep-21,17362.1,26.6
06-Sep-21,17377.8,26.63
03-Sep-21,17323.6,26.54
02-Sep-21,17234.15,26.41
01-Sep-21,17076.25,26.17
31-Aug-21,17132.2,26.25
30-Aug-21,16931.05,25.94
27-Aug-21,16705.2,25.6
26-Aug-21,16636.9,25.49
25-Aug-21,16634.65,25.49
24-Aug-21,16624.6,25.47
23-Aug-21,16496.45,25.28
20-Aug-21,16450.5,25.21
18-Aug-21,16568.85,25.39
17-Aug-21,16614.6,25.46
16-Aug-21,16563.05,25.62
13-Aug-21,16529.1,26.51
12-Aug-21,16364.4,26.25
11-Aug-21,16282.25,26.34
10-Aug-21,16280.1,26.35
09-Aug-21,16258.25,26.53
06-Aug-21,16238.2,26.51
05-Aug-21,16294.6,26.72
04-Aug-21,16258.8,27.39
03-Aug-21,16130.75,27.31
02-Aug-21,15885.15,27.21
